manager,access,Issn_M,namem,agmnt,accessmode,year,publicationPeriod,publishingHouse
Joyce Barrett,Digital, 0020-0255,"Information sciences
",science,Digital,2003-05-19 09:58:45Z,Monthly,Global Print
Mark Bloom,Audio,2041-1286,"International journal of applied glass science 
",physics,Paper,1988-05-15 12:02:44Z,Monthly,ENEL
Ada Stewart,Audio,1754-8853 ,International journal of arts and technology ,technology,Digital,1988-01-21 11:28:24Z,Yearly,21st Century Fox
Nate Davies,Audio,0141-8130,"International journal of biological macromolecules 
",science,Digital,1990-08-19 14:06:36Z,Every seven months,Erickson
Iris Coleman,Audio,1028-6632,"International journal of cultural policy 
",culture,Audio,1983-06-21 05:28:33Z,Daily,ExxonMobil
Ember Sherry,Paper,1365-8816,International journal of geographical information science  ,geography,Digital,1993-08-13 02:18:57Z,Weekly,Leadertech Consulting
Amelia Rixon,Audio,0219-8878,"International journal of geometric methods in modern physics 
",mathematics,Digital,1997-09-30 05:29:36Z,Often,Leadertech Consulting
Selena Lomax,Audio,1753-8548,"International journal of humanities and arts computing 
",antropology,Audio,2010-05-02 09:45:49Z,Monthly,Erickson
Alba Stevens,Paper,2067-3604,"International journal of modern manufacturing technologies 
",technology,Paper,1982-09-14 20:16:04Z,Daily,It Smart Group
Ron Alcroft,Digital,2247-4404,"Journal for communication and culture 
",culture,Audio,1989-06-10 14:02:48Z,Yearly,21st Century Fox
Oliver Pearson,Paper, 0021-8782,"Journal of anatomy
",medicine,Audio,1987-05-02 22:28:05Z,Monthly,Carrefour
Marvin Simmons,Digital,0305-7445,"International journal of nautical archaeology and underwater exploration
",archeology,Paper,2019-06-06 06:55:35Z,Yearly,Boeing
Nick Farrell,Paper, 1590-7198,"Journal of agriculture and environment for international development
",agriculture,Paper,2013-11-10 06:15:36Z,Weekly,Metro Cash&Carry
Owen Rycroft,Audio,4732-9483,The astrophysical journal,astrophysics,Audio,2019-05-12 17:08:54Z,Daily,Metro Cash Carry
Chris Edley,Digital,9028-3740,Chemical reviews,chemistry,Paper,2000-09-17 21:07:24Z,Every nine months,UPC
Johnny Mason,Digital,8748-3742 ,The plant cell,biology,Audio,2019-01-14 06:40:51Z,Every five months,Global Print
Callie Underhill,Audio,"1098-0121
",Physical review a,physics,Audio,1981-01-10 06:00:22Z,Weekly,Apple Inc.
Colleen Nobbs,Audio,1932-6203,Plos One,science,Paper,2008-12-25 04:18:28Z,Yearly,AECOM
Denny Stevens,Digital,0140-6736,The Lancet,medicine,Paper,2008-09-28 14:03:14Z,Yearly,Global Print
Eve Hobbs,Audio,7469-1279,IEEE transactions on electrical and computer engineering,elettric engineering,Digital,1994-04-22 11:23:33Z,Every two months,Apple Inc.
Maia Vernon,Digital,1971-1093,"History of education & children's literature 
",physics,Paper,2009-12-11 06:32:50Z,Every six months,Global Print
Peter Doherty,Digital,0730-8329,ACM transactions on sensor networks,sensor networks,Paper,2007-05-13 15:21:53Z,Monthly,UPC
Kamila Hopkins,Audio,4732-869X,Inorganic chemistry,inorganic chemistry,Paper,2008-04-14 06:23:34Z,Every three months,AECOM
